time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level,{controller}.controller.wt3_valve
35.45,1,2.95662892,2.863987989,0.472507661,47.25076609,7.179074565,0,1.523198565,FALSE
35.5,0,2.938320351,2.870573017,0.473811162,47.38111617,7.179074565,0,1.551548428,FALSE
35.55,0,2.9216223,2.868314227,0.473846083,47.38460834,7.179074565,0,1.57049653,FALSE
35.6,1,2.941547514,2.863321746,0.472861726,47.28617265,7.179074565,0,1.598927179,FALSE
35.65,1,2.959317982,2.866636965,0.473038512,47.3038512,7.179074565,0,1.617844929,FALSE
35.7,0,2.940993417,2.873206234,0.474338855,47.43388547,7.179074565,0,1.64622665,FALSE
35.75,0,2.924284754,2.870936991,0.474371681,47.43716815,7.179074565,0,1.66519587,FALSE
35.8,1,2.944194129,2.865928906,0.473384198,47.33841978,7.179074565,0,1.693658061,FALSE
35.85,1,2.96195409,2.869233776,0.473558909,47.35589091,7.179074565,0,1.712596721,FALSE
35.9,0,2.943613842,2.875787596,0.474856156,47.4856156,7.179074565,0,1.741009673,FALSE
35.95,0,2.926894776,2.873508105,0.474886929,47.48869291,7.179074565,0,1.759999595,FALSE
36,1,2.946788623,2.868484725,0.47389638,47.38963802,7.179074565,0,1.788492708,FALSE
36.05,1,2.964538284,2.871779448,0.474069058,47.40690581,7.179074565,0,1.807451865,FALSE
36.1,0,2.946182663,2.878318123,0.47536327,47.53632701,7.179074565,0,1.835895433,FALSE
36.15,0,2.929453399,2.876028586,0.47539203,47.539203,7.179074565,0,1.85490565,FALSE
36.2,1,2.949332025,2.870990212,0.474398476,47.43984762,7.179074565,0,1.883429076,FALSE
36.25,1,2.967071589,2.874274988,0.474569161,47.45691608,7.179074565,0,1.902408327,FALSE
36.3,0,2.959031259,2.879982423,0.475478412,47.54784117,7.179074565,0,1.921390524,FALSE
36.35,0,2.931961635,2.878499432,0.475887184,47.58871839,7.179074565,0,1.949916198,FALSE
36.4,1,2.940998296,2.873773476,0.47517462,47.517462,7.179074565,0,1.968950323,FALSE
36.45,1,2.969555005,2.876721384,0.475059415,47.5059415,7.179074565,0,1.997463175,FALSE
36.5,0,2.961504816,2.882419106,0.47596672,47.59667196,7.179074565,0,2.016465936,FALSE
36.55,0,2.934420477,2.88092162,0.476372587,47.63725869,7.179074565,0,2.045020915,FALSE
36.6,1,2.943447377,2.876186048,0.475658096,47.5658096,7.179074565,0,2.064074465,TRUE
36.65,1,2.971989516,2.879119603,0.475540015,47.55400148,7.235170754,2.710154312,1.933851191,TRUE
36.7,0,2.963929662,2.884807805,0.476445411,47.64454114,7.272364104,2.588335074,1.846926148,TRUE
36.75,0,2.936830897,2.883296108,0.476848431,47.68484309,7.324740809,2.418012461,1.725391155,TRUE
36.8,1,2.945848228,2.878551109,0.476132051,47.61320509,7.357549954,2.312188332,1.649879544,TRUE
36.85,1,2.974376084,2.881470594,0.47601115,47.60111501,7.403860752,2.16411797,1.544222813,TRUE
36.9,0,2.966306755,2.887149463,0.476914676,47.69146763,7.432937729,2.072091542,1.478556656,TRUE
36.95,0,2.93919385,2.885623835,0.477314904,47.73149042,7.474076218,1.943440558,1.386756769,TRUE
37,1,2.948201799,2.880869595,0.476596672,47.65966722,7.499967478,1.863513107,1.329723929,TRUE
37.05,1,2.976715654,2.883775288,0.476473007,47.64730074,7.536685725,1.751664781,1.249913707,TRUE
37.1,0,2.968637037,2.889445007,0.4773747,47.73747001,7.559849929,1.682148384,1.200309754,TRUE
37.15,0,2.941510269,2.887905723,0.477772191,47.77721912,7.59277967,1.584982467,1.130976276,TRUE
37.2,1,2.950509022,2.883142424,0.477052144,47.70521439,7.613605395,1.524621262,1.08790508,TRUE
37.25,1,2.979009151,2.886034595,0.476925769,47.69257694,7.643283913,1.440140473,1.027623171,TRUE
37.3,0,2.970921429,2.891695345,0.477825665,47.78256646,7.662099814,1.387631484,0.990154984,TRUE
37.35,0,2.94378107,2.890142673,0.478220473,47.8220473,7.688981305,1.314254011,0.93779593,TRUE
37.4,1,2.952770809,2.885370494,0.477498646,47.7498646,7.706068066,1.268675988,0.905273386,FALSE
37.45,1,2.981257482,2.88824941,0.477369615,47.73696153,7.707465391,0,0.929696791,FALSE
37.5,0,2.973160835,2.893901367,0.478267748,47.82677484,7.707465391,0,0.948792005,FALSE
37.55,0,2.946007154,2.892335572,0.478659927,47.86599268,7.707465391,0,0.977485077,FALSE
37.6,1,2.954988055,2.887554687,0.477936355,47.79363552,7.707465391,0,0.996630166,FALSE
37.65,1,2.983461538,2.89042061,0.47780472,47.78047205,7.707465391,0,1.02530876,FALSE
37.7,0,2.97535614,2.896063947,0.478701126,47.87011263,7.707465391,0,1.044421387,FALSE
